Trial	ObservationNumber	Tank	Treatment	UniqueTank	Observer	Individual1	Individual2	FacetofaceYN	AntennaeOnlyYN	StartTime	StartTimeMinutes	StartTimeSeconds	EndTime	EndTimeMinutes	EndTimeSeconds	Duration
3	59	3	3	3	Cari	O	Y	0	0	1:59	1	59	2:42	2	42	43
4	59	4	12	46	Cari	P	Y	0	0	11:31	11	31	11:45	11	45	14
1	60	12	8	7	Cari	B	O	0	0	21:09	21	9	21:48	21	48	39
2	60	2	13	24	Skylar	O	YG	0	0	24:29:00	24	29	25:02:00	25	2	33
3	60	9	6	29	Skylar	O	G	0	0	5:16	5	16	8:40	8	40	204
4	60	4	12	46	Cari	P	Y	0	0	12:41	12	41	13:14	13	14	33
1	61	12	8	7	Cari	Y	C	0	0	21:39	21	39	22:11	22	11	32
2	61	2	13	24	Skylar	P	YB	0	0	25:24:00	25	24	26:10:00	26	10	46
3	61	9	6	29	Skylar	B	G	0	0	10:26	10	26	12:25	12	25	119
4	61	4	12	46	Cari	P	YG	0	1	14:57	14	57	15:18	15	18	21
1	62	12	8	7	Cari	B	R	0	0	26:32:00	26	32	27:00:00	27	0	28
2	62	2	13	24	Skylar	G	P	0	0	26:36:00	26	36	26:57:00	26	57	21
3	62	9	6	29	Skylar	B	Y	1	0	12:51	12	51	16:47	16	47	236
4	62	4	12	46	Cari	PG	YB	0	0	17:43	17	43	18:06	18	6	23
1	63	12	8	7	Cari	G	C	1	0	27:56:00	27	56	28:52:00	28	52	56
2	63	2	13	24	Skylar	C	O	0	0	27:22:00	27	22	30:00:00	30	0	158
4	63	4	12	46	Cari	G	RG	0	1	18:39	18	39	18:40	18	40	1
3	63.1	9	6	29	Skylar	G	Y	0	0	16:00	16	0	16:49	16	49	49
3	63.2	9	6	29	Skylar	G	B	0	0	16:00	16	0	16:49	16	49	49
1	64	12	8	7	Cari	P	O	1	0	35:57:00	35	57	35:58:00	35	58	1
2	64	2	13	24	Skylar	P	RB	1	0	29:10:00	29	10	29:45:00	29	45	35
3	64	9	6	29	Skylar	P	G	0	0	23:54:00	23	54	24:10:00	24	10	16
4	64	4	12	46	Cari	G	RG	1	0	19:54	19	54	21:58	21	58	124
1	65	12	8	7	Cari	P	O	0	0	37:41:00	37	41	37:55:00	37	55	14
2	65	2	13	24	Skylar	RG	PG	0	0	31:28:00	31	28	31:58:00	31	58	30
3	65	9	6	29	Skylar	R	P	0	0	29:43:00	29	43	30:50:00	30	50	67
4	65	4	12	46	Cari	PG	RB	0	1	20:08	20	8	20:09	20	9	1
1	66	12	8	7	Cari	B	G	0	0	37:53:00	37	53	37:58:00	37	58	5
2	66	2	13	24	Skylar	B	YB	0	0	31:45:00	31	45	33:11:00	33	11	86
3	66	9	6	29	Skylar	G	Y	0	0	30:01:00	30	1	30:44:00	30	44	43
4	66	4	12	46	Cari	B	RG	1	0	26:11:00	26	11	27:36:00	27	36	85
1	67	12	8	7	Cari	B	Y	0	0	38:32:00	38	32	41:25:00	41	25	173
2	67	2	13	24	Skylar	P	YB	0	0	33:29:00	33	29	34:06:00	34	6	37
3	67	9	6	29	Skylar	G	R	1	0	44:15:00	44	15	44:44:00	44	44	29
4	67	4	12	46	Cari	B	RG	0	0	28:19:00	28	19	30:40:00	30	40	141
2	68	2	13	24	Skylar	PG	RG	0	1	33:49:00	33	49	33:52:00	33	52	3
3	68	10	9	32	Skylar	Y	RG	0	0	0:00	0	0	0:54	0	54	54
4	68	4	12	46	Cari	O	YG	0	0	30:53:00	30	53	31:38:00	31	38	45
1	69	12	8	7	Cari	RG	P	0	0	40:20:00	40	20	40:28:00	40	28	8
2	69	2	13	24	Skylar	YG	PG	1	0	34:34:00	34	34	35:11:00	35	11	37
3	69	10	9	32	Skylar	C	G	0	0	2:14	2	14	2:30	2	30	16
4	69	4	12	46	Cari	O	YG	0	0	32:07:00	32	7	32:22:00	32	22	15
2	70	2	13	24	Skylar	RG	GB	0	1	37:31:00	37	31	37:50:00	37	50	19
3	70	10	9	32	Skylar	Y	O	0	0	4:58	4	58	5:23	5	23	25
